Date,Stock1,Stock2
04/07/95,927044,335372
04/14/95,928228,336556
04/21/95,931251,339578
04/28/95,927143,335471
05/05/95,925183,333511
05/12/95,926005,334334
05/19/95,921856,330185
05/26/95,918837,327166
06/02/95,916916,325245
06/09/95,916361,324692
06/16/95,915872,324203
06/23/95,908405,316736
06/30/95,912131,320462
07/07/95,910500,318831
07/14/95,910483,318814
07/21/95,903603,311931
07/28/95,906552,314880
08/04/95,899700,308000
08/11/95,902175,310505
08/18/95,894785,303115
08/25/95,897738,306068
09/01/95,905430,313760
09/08/95,900828,309158
09/15/95,899924,308251
09/22/95,899374,307701
09/29/95,894319,302646
10/06/95,890341,298668
10/13/95,890316,298643
10/20/95,892487,300819
10/27/95,894011,302343
11/03/95,897203,305535
11/10/95,895572,303909
11/17/95,905181,313518
11/24/95,911260,319597
12/01/95,908182,316519
12/08/95,903922,312259
12/15/95,909772,318121
12/22/95,903912,312264
12/29/95,893686,302038
01/05/96,894339,302691
01/12/96,897259,305619
01/19/96,901537,309897
01/26/96,899792,308152
02/02/96,897581,305941
02/09/96,895347,303707
02/16/96,892277,300647
02/23/96,892620,300990
03/01/96,889544,297914
03/08/96,897769,306139
03/15/96,892487,300870
03/22/96,891270,299653
03/29/96,886712,297590
04/05/96,888940,299811
04/12/96,888854,301210
04/19/96,884175,297181
04/26/96,883304,296811
05/03/96,890497,304004
05/10/96,888795,302302
05/17/96,884335,297850
05/24/96,885463,298978
05/31/96,896730,310915
06/07/96,894687,308884
06/14/96,891677,305874
06/21/96,891199,306730
06/28/96,898052,313583
07/05/96,899905,315440
07/12/96,896897,312913
07/19/96,892658,309075
07/26/96,893304,310190
08/02/96,890341,307429
08/09/96,887657,306268
08/16/96,889016,308148
08/23/96,898144,317849
08/30/96,891433,312784
09/06/96,886920,309345
09/13/96,883602,307358
09/20/96,884254,308534
09/27/96,877086,303421
10/04/96,876817,303152
10/11/96,873510,299851
10/18/96,879251,305592
10/25/96,876192,302533
11/01/96,886228,312569
11/08/96,881060,307439
11/15/96,878364,304974
11/22/96,872241,300178
11/29/96,871524,300405
12/06/96,869749,299649
12/13/96,866522,296702
12/20/96,858693,290599
12/27/96,860508,293041
01/03/97,851280,284518
01/10/97,855386,289570
01/17/97,853293,288105
01/24/97,856260,291477
01/31/97,861305,297512
02/07/97,864444,300960
02/14/97,868927,305445
02/21/97,868763,305281
02/28/97,863340,299858
03/07/97,868570,305088
03/14/97,868672,305198
03/21/97,867584,304110
03/28/97,873930,310456
04/04/97,873771,310297
04/11/97,876390,312921
04/18/97,877850,314371
04/25/97,880676,317197
05/02/97,880760,317291
05/09/97,887149,323686
05/16/97,881714,318251
05/23/97,884928,321465
05/30/97,889130,325667
06/06/97,888728,325265
06/13/97,887468,324009
06/20/97,887005,323546
06/27/97,881278,317819
07/04/97,886275,322816
07/11/97,883812,320357
07/18/97,881827,318372
07/25/97,871937,308482
08/01/97,871223,307768
08/08/97,876358,312906
08/15/97,876982,313530
08/22/97,871728,308276
08/29/97,870126,306674
09/05/97,864044,300592
09/12/97,867835,304386
09/19/97,863952,300503
09/26/97,865270,301821
10/03/97,869898,306449
10/10/97,867721,304277
10/17/97,864423,300979
10/24/97,869028,305584
10/31/97,875047,311603
11/07/97,873867,310423
11/14/97,879148,315709
11/21/97,882922,319483
11/28/97,885742,322303
12/05/97,880940,317501
12/12/97,883480,320041
12/19/97,879502,316072
12/26/97,876250,312820
01/02/98,869848,306418
01/09/98,868768,305339
01/16/98,879980,316551
01/23/98,885666,322237
01/30/98,885094,321615
02/06/98,885036,321607
02/13/98,886739,323309
02/20/98,889622,326192
02/27/98,888023,324593
03/06/98,887102,323672
03/13/98,885041,321615
03/20/98,891510,328084
03/27/98,893104,329678
04/03/98,894671,331245
04/10/98,900001,336575
04/17/98,905008,341582
04/24/98,905311,341885
05/01/98,907511,344085
05/08/98,906848,343422
05/15/98,918071,354645
05/22/98,914825,351399
05/29/98,910537,347111
06/05/98,909388,345962
06/12/98,906690,343264
06/19/98,905038,341610
06/26/98,906699,343271
07/03/98,903809,340381
07/10/98,897178,333749
07/17/98,902719,339290
07/24/98,906548,343119
07/31/98,907231,343802
08/07/98,908194,344765
08/14/98,907658,344229
08/21/98,900780,337354
08/28/98,900462,337036
09/04/98,891508,328082
09/11/98,889126,325700
09/18/98,879787,316361
09/25/98,882884,319458
10/02/98,885594,322168
10/09/98,892383,328957
10/16/98,895928,332502
10/23/98,899665,336239
10/30/98,903440,340014
11/06/98,902615,339189
11/13/98,900669,336654
11/20/98,905826,341811
11/27/98,900258,336243
12/04/98,898824,334809
12/11/98,902243,338228
12/18/98,908233,339708
12/25/98,905575,337050
01/01/99,890353,321828
01/08/99,892893,324368
01/15/99,895600,327075
01/22/99,901653,330248
01/29/99,904235,332830
02/05/99,904805,333400
02/12/99,903613,331662
02/19/99,906700,334700
02/26/99,903494,331543
03/05/99,906314,334363
03/12/99,909977,338026
03/19/99,912784,340833
03/26/99,916587,344636
04/02/99,914841,342890
04/09/99,916958,345007
04/16/99,913802,341851
04/23/99,910359,338408
04/30/99,908218,336267
05/07/99,905820,333869
05/14/99,906874,334422
05/21/99,904551,332099
05/28/99,903504,331052
06/04/99,905460,333008
06/11/99,908417,334822
06/18/99,905694,332099
06/25/99,903970,330375
07/02/99,903738,330143
07/09/99,907426,333831
07/16/99,909004,334205
07/23/99,903828,329029
07/30/99,900428,325629
08/06/99,898193,323394
08/13/99,897463,321761
08/20/99,892938,317236
08/27/99,893500,317798
09/03/99,888957,313255
09/10/99,884675,308973
09/17/99,884038,309162
09/24/99,879781,304905
10/01/99,879411,304535
10/08/99,872202,297326
10/15/99,876221,300749
10/22/99,876490,301018
10/29/99,880211,304739
11/05/99,877928,305137
11/12/99,879706,306937
11/19/99,874845,303874
11/26/99,869356,299520
12/03/99,867884,298769
12/10/99,861158,293183
12/17/99,860328,292352
12/24/99,859735,292051
12/31/99,858016,290332
01/07/00,860658,293416
01/14/00,860849,293331
01/21/00,859014,290899
01/28/00,850895,282481
02/04/00,855019,286025
02/11/00,855131,285839
02/18/00,854823,285530
02/25/00,854954,285859
03/03/00,859865,290491
03/10/00,860296,290922
03/17/00,861934,292561
03/24/00,861784,292411
03/31/00,863325,293913
04/07/00,866209,296797
04/14/00,871704,302291
04/21/00,876774,307361
04/28/00,873510,304097
05/05/00,878000,308587
05/12/00,878250,308837
05/19/00,879199,309786
05/26/00,874598,305185
06/02/00,870609,301196
06/09/00,869173,299760
06/16/00,864612,295199
06/23/00,863943,295526
06/30/00,862149,293732
07/07/00,863766,294874
07/14/00,863757,294389
07/21/00,864031,294663
07/28/00,853577,284110
08/04/00,855799,285447
08/11/00,859713,288847
08/18/00,855555,284689
08/25/00,857842,286736
09/01/00,860577,289471
09/08/00,859909,288544
09/15/00,857427,286062
09/22/00,856926,285561
09/29/00,857321,286653
10/06/00,858010,287730
10/13/00,853975,283213
10/20/00,856380,285618
10/27/00,852015,284129
11/03/00,848505,282510
11/10/00,848505,284007
11/17/00,850497,290171
11/24/00,844370,290093
12/01/00,844890,292090
12/08/00,836425,288721
12/15/00,835089,291754
12/22/00,832409,290503
12/29/00,829854,288666
01/05/01,828993,288315
01/12/01,827983,287305
01/19/01,826873,286195
01/26/01,823303,282625
02/02/01,827294,285621
02/09/01,830661,288985
02/16/01,818781,277105
02/23/01,821660,279984
03/02/01,818991,277315
03/09/01,827416,285286
03/16/01,832579,290288
03/23/01,843767,301476
03/30/01,845452,303161
04/06/01,849372,307081
04/13/01,855582,313292
04/20/01,854217,311867
04/27/01,860542,318192
05/04/01,861562,318753
05/11/01,864499,321229
05/18/01,867841,324571
05/25/01,866099,322829
06/01/01,867706,324436
06/08/01,859502,316232
06/15/01,858774,315504
06/22/01,858766,315496
06/29/01,854013,310743
07/06/01,851486,307753
07/13/01,858507,314774
07/20/01,859887,316154
07/27/01,858837,315104
08/03/01,852340,308607
08/10/01,849491,305757
08/17/01,845488,301754
08/24/01,848185,304451
08/31/01,846231,302497
09/07/01,847036,303302
09/14/01,846954,302676
09/21/01,850621,305862
09/28/01,852233,307474
10/05/01,852184,307424
10/12/01,847744,302984
10/19/01,850567,305807
10/26/01,853023,308263
11/02/01,857140,311935
11/09/01,857402,311668
11/16/01,856703,310448
11/23/01,854047,307268
11/30/01,858848,311523
12/07/01,856439,309114
12/14/01,857819,309475
12/21/01,861135,312088
12/28/01,858965,309918
01/04/02,861294,311055
01/11/02,863354,312083
01/18/02,867289,314832
01/25/02,870442,316938
02/01/02,873534,319310
02/08/02,878878,321811
02/15/02,876150,318703
02/22/02,875406,316235
03/01/02,880274,320549
03/08/02,880846,320882
03/15/02,884406,323490
03/22/02,879962,319046
03/29/02,885986,325071
04/05/02,886514,325027
04/12/02,882484,319362
04/19/02,885886,320948
04/26/02,891037,325520
05/03/02,886722,319966
05/10/02,883497,315779
05/17/02,888748,320409
05/24/02,888364,318873
05/31/02,895647,324905
06/07/02,895384,323525
06/14/02,895792,323042
06/21/02,893936,319603
06/28/02,896593,321176
07/05/02,893405,316961
07/12/02,892506,314981
07/19/02,889347,311299
07/26/02,887370,309322
08/02/02,885699,307177
08/09/02,879067,299972
08/16/02,882410,302825
08/23/02,883305,303089
08/30/02,879346,298461
09/06/02,875439,293174
09/13/02,871401,287770
09/20/02,869161,285178
09/27/02,860479,275196
10/04/02,856704,270472
10/11/02,867178,279447
10/18/02,874354,286224
10/25/02,875701,287138
11/01/02,879608,290533
11/08/02,874284,283643
11/15/02,880047,288098
11/22/02,877705,284199
11/29/02,881912,287275
12/06/02,885860,288722
12/13/02,884744,286661
12/20/02,886170,287376
12/27/02,877145,278250
01/03/03,877784,278689
01/10/03,871511,272260
01/17/03,873096,273845
01/24/03,872584,273337
01/31/03,873528,274281
02/07/03,869088,269841
02/14/03,872146,272899
02/21/03,871112,271865
02/28/03,872809,273562
03/07/03,869004,269757
03/14/03,869476,270229
03/21/03,873181,273934
03/28/03,879914,280667
04/04/03,876354,277107
04/11/03,876687,277239
04/18/03,885658,286210
04/25/03,887480,288032
05/02/03,886785,287200
05/09/03,884867,284477
05/16/03,886221,285141
05/23/03,887770,286168
05/30/03,891559,289032
06/06/03,888340,284365
06/13/03,893583,288349
06/20/03,889736,284204
06/27/03,889415,282088
07/04/03,890916,282224
07/11/03,887894,278594
07/18/03,886255,276255
07/25/03,888049,277349
08/01/03,892631,280218
08/08/03,892960,280398
08/15/03,891512,278812
08/22/03,894554,278628
08/29/03,897382,280389
09/05/03,894620,276164
09/12/03,899541,279313
09/19/03,902170,280803
09/26/03,902756,280756
10/03/03,909974,286169
10/10/03,915652,289966
10/17/03,915264,288171
10/24/03,920561,291811
10/31/03,921846,291860
11/07/03,922294,291085
11/14/03,926217,293995
11/21/03,921741,289106
11/28/03,917657,284277
12/05/03,912111,277932
12/12/03,907508,272808
12/19/03,910111,274453
12/26/03,907031,270676
01/02/04,907186,268954
01/09/04,903247,263970
01/16/04,904768,265182
01/23/04,904128,263666
